iter	Passed	Remaining
415	3689	5179
416	3697	5168
417	3707	5161
418	3715	5152
419	3723	5142
420	3733	5134
421	3741	5124
422	3750	5116
423	3758	5106
424	3766	5096
425	3774	5085
426	3781	5075
427	3790	5065
428	3797	5054
429	3805	5044
430	3813	5034
431	3821	5024
432	3830	5015
433	3840	5008
434	3853	5004
435	3863	4998
436	3872	4988
437	3884	4984
438	3896	4979
439	3905	4970
440	3915	4963
441	3926	4956
442	3934	4946
443	3946	4942
444	3957	4935
445	3970	4931
446	3979	4922
447	3991	4917
448	4001	4910
449	4013	4905
450	4024	4899
451	4033	4889
452	4047	4887
453	4056	4878
454	4065	4869
455	4074	4860
456	4082	4851
457	4093	4844
458	4101	4834
459	4109	4824
460	4117	4813
461	4125	4804
462	4134	4794
463	4142	4785
464	4151	4776
465	4159	4766
466	4168	4757
467	4177	4748
468	4186	4739
469	4195	4730
470	4204	4722
471	4212	4712
472	4220	4702
473	4228	4692
474	4235	4681
475	4243	4671
476	4251	4661
477	4258	4651
478	4267	4642
479	4275	4632
480	4284	4622
481	4292	4613
482	4300	4603
483	4308	4593
484	4316	4583
485	4324	4573
486	4332	4563
487	4339	4553
488	4349	4545
489	4358	4536
490	4366	4526
491	4376	4518
492	4385	4509
493	4393	4500
494	4401	4490
495	4410	4481
496	4432	4486
497	4441	4477
498	4454	4471
499	4466	4466
500	4475	4458
501	4492	4457
502	4516	4463
503	4531	4459
504	4552	4462
505	4565	4456
506	4578	4452
507	4588	4444
508	4597	4435
509	4608	4427
510	4617	4418
511	4627	4410
512	4637	4402
513	4644	4391
514	4657	4386
515	4667	4378
516	4691	4383
517	4704	4377
518	4718	4372
519	4727	4363
520	4736	4354
521	4748	4347
522	4756	4338
523	4784	4345
524	4814	4355
525	4831	4353
526	4842	4346
527	4851	4337
528	4865	4332
529	4874	4322
530	4882	4312
531	4889	4301
532	4898	4292
533	4906	4281
534	4915	4272
535	4922	4261
536	4930	4251
537	4938	4240
538	4950	4234
539	4963	4228
540	4978	4224
541	4992	4218
542	5002	4210
543	5039	4224
544	5053	4218
545	5064	4211
546	5073	4201
547	5085	4195
548	5108	4196
549	5119	4188
550	5128	4179
551	5140	4172
552	5152	4164
553	5161	4155
554	5171	4146
555	5178	4135
556	5189	4127
557	5200	4119
558	5211	4111
559	5224	4104
560	5234	4096
561	5243	4086
562	5253	4077
563	5261	4067
564	5270	4058
565	5279	4048
566	5288	4038
567	5297	4029
568	5305	4018
569	5315	4009
570	5325	4001
571	5334	3991
572	5342	3981
573	5351	3972
574	5360	3962
575	5370	3952
576	5381	3945
577	5393	3937
578	5401	3927
579	5410	3917
580	5420	3908
581	5435	3904
582	5447	3896
583	5456	3886
584	5471	3881
585	5481	3872
586	5499	3869
587	5511	3862
588	5522	3853
589	5531	3843
590	5539	3833
591	5552	3826
592	5560	3816
593	5568	3805
594	5578	3797
595	5588	3787
596	5613	3789
597	5629	3784
598	5652	3784
599	5674	3782
600	5688	3776
601	5699	3768
602	5711	3760
603	5722	3751
604	5738	3746
605	5746	3736
606	5756	3726
607	5763	3716
608	5772	3706
609	5779	3695
610	5790	3686
611	5799	3676
612	5807	3666
613	5819	3658
614	5829	3649
615	5845	3643
616	5855	3634
617	5866	3626
618	5892	3626
619	5906	3619
620	5922	3614
621	5930	3603
622	5940	3595
623	5949	3584
624	5956	3574
625	5967	3565
626	5975	3554
627	5987	3546
628	6009	3544
629	6022	3536
630	6032	3527
631	6041	3518
632	6059	3513
633	6070	3504
634	6078	3493
635	6089	3485
636	6103	3478
637	6116	3470
638	6125	3460
639	6134	3450
640	6144	3441
641	6158	3434
642	6167	3424
643	6175	3413
644	6183	3403
645	6191	3393
646	6200	3382
647	6212	3374
648	6222	3365
649	6230	3354
650	6239	3344
651	6247	3334
652	6256	3324
653	6264	3314
654	6272	3303
655	6281	3293
656	6290	3284
657	6300	3274
658	6312	3266
659	6323	3257
660	6334	3248
661	6344	3239
662	6352	3228
663	6359	3217
